"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.172239021E2,6.506285780E1,2.547951034E1,9.515421639E0,2.700000000E1,7.039999962E0,8.909999847E1,3.523045432E-1,2.500000000E0,1.000000000E2,1.800000000E1
1.182182872E2,6.506285889E1,2.547966138E1,9.515438385E0,2.700000000E1,7.449999809E0,8.559999847E1,3.599302222E-1,2.500000000E0,1.000000000E2,1.800000000E1
1.192332817E2,6.506286304E1,2.547982374E1,9.515455282E0,2.700000000E1,7.440000057E0,8.340000153E1,3.672163675E-1,2.500000000E0,1.000000000E2,1.900000000E1
1.202165037E2,6.506286388E1,2.547997914E1,1.051547262E1,2.800000000E1,7.190000057E0,8.450000000E1,3.741755171E-1,2.500000000E0,1.000000000E2,1.800000000E1
1.212379643E2,6.506286748E1,2.548012733E1,1.051548811E1,2.800000000E1,7.269999981E0,8.559999847E1,3.815004148E-1,2.500000000E0,1.000000000E2,1.700000000E1
1.222250826E2,6.506286773E1,2.548028357E1,1.051550576E1,2.800000000E1,7.239999771E0,8.719999695E1,3.891263054E-1,2.500000000E0,1.000000000E2,1.700000000E1
1.232227730E2,6.506286945E1,2.548044618E1,1.151552359E1,2.900000000E1,7.079999924E0,8.859999847E1,3.960896225E-1,2.500000000E0,1.000000000E2,1.800000000E1
1.242205907E2,6.506286945E1,2.548059471E1,1.151554046E1,2.900000000E1,7.039999962E0,8.930000305E1,4.034734123E-1,2.500000000E0,1.000000000E2,1.800000000E1
1.252309840E2,6.506286949E1,2.548075221E1,1.151555833E1,2.900000000E1,6.889999866E0,8.950000000E1,4.101819215E-1,3.000000000E0,1.000000000E2,1.900000000E1
1.262172318E2,6.506287172E1,2.548089520E1,1.151557374E1,2.900000000E1,6.710000038E0,8.780000305E1,4.170673158E-1,3.000000000E0,1.000000000E2,1.700000000E1
1.272204613E2,6.506286945E1,2.548104197E1,1.151559125E1,2.900000000E1,6.909999847E0,8.859999847E1,4.243336469E-1,3.000000000E0,1.000000000E2,1.700000000E1
1.282227628E2,6.506287016E1,2.548119695E1,1.051560859E1,2.800000000E1,6.809999943E0,8.940000153E1,4.312813219E-1,3.000000000E0,1.000000000E2,1.800000000E1
1.292274494E2,6.506287046E1,2.548134514E1,1.151562531E1,2.900000000E1,6.940000057E0,8.800000000E1,4.380651592E-1,3.000000000E0,1.000000000E2,1.800000000E1
1.302248792E2,6.506287477E1,2.548148948E1,1.151564010E1,2.900000000E1,6.949999809E0,8.569999695E1,4.449145861E-1,2.500000000E0,1.000000000E2,1.700000000E1
1.312244219E2,6.506288169E1,2.548163465E1,1.151565403E1,2.900000000E1,6.399999619E0,7.730000305E1,4.513352264E-1,2.500000000E0,1.000000000E2,1.700000000E1
1.321897490E2,6.506289250E1,2.548176918E1,1.051566532E1,2.800000000E1,6.329999924E0,7.940000153E1,4.575675923E-1,3.000000000E0,1.000000000E2,1.700000000E1
