"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.398137761E0,-1.814352751E0,1.478089333E0,3.765354156E0,4.433341393E0
1.406135769E0,-1.859445572E-1,-2.738456726E-1,5.713773727E0,5.723353653E0
1.414134129E0,-6.175696850E-1,-1.982634544E0,5.042759418E0,5.453590983E0
1.422128464E0,-2.772238731E0,-2.367443085E0,4.048363686E0,5.447875079E0
1.430121394E0,-5.486314774E0,-9.667091370E-1,6.036656857E0,8.214341261E0
1.438116707E0,-5.496937752E0,2.076396942E-1,6.288794994E0,8.355141014E0
1.446111043E0,-5.690427780E0,8.727588654E-1,7.324295998E0,9.316007096E0
1.454108152E0,-4.709914207E0,1.119158745E0,7.347854614E0,8.799248580E0
1.462104129E0,-2.631147623E0,1.816461563E0,3.780565262E0,4.951277019E0
1.470101785E0,-1.850282669E0,2.600062370E0,-3.188508749E-2,3.191376967E0
1.478100652E0,-6.606221199E-2,4.850966454E0,-5.692218781E0,7.479143961E0
1.486099168E0,-1.692759514E0,3.930390835E0,-3.948884010E0,5.822979634E0
1.494095652E0,-1.625290871E0,3.628031731E0,-8.234902024E-1,4.059842456E0
1.502094363E0,-1.619084120E0,3.189253330E0,1.729969144E0,3.973105011E0
1.510089910E0,-2.372642517E0,1.726287842E0,3.397231340E0,4.488951215E0
1.518087800E0,1.141538382E0,1.174318314E0,1.340490580E0,2.116376236E0
1.526083777E0,5.159355164E0,3.296531677E0,-1.814950943E0,6.385930921E0
1.534081550E0,5.426396370E0,5.272112846E0,-1.856609344E0,7.790247088E0
1.542083425E0,3.293005466E0,6.225429535E0,1.275879264E0,7.157354664E0
1.550085925E0,-4.072532654E-1,6.082691193E0,2.827058792E0,6.719914343E0
1.558087254E0,-2.669241905E0,3.499327183E0,2.076017380E0,4.866209124E0
1.566087839E0,-5.132274628E0,3.637123108E-2,2.700092793E0,5.799316064E0
1.574085379E0,-6.146769524E0,-1.827334404E0,5.201879501E0,8.257207576E0
1.582084714E0,-5.193141460E0,-3.636199951E0,6.583069324E0,9.139336412E0
1.590085300E0,-6.208603859E0,-2.848379135E0,9.095675468E0,1.137503133E1
1.598085300E0,-4.837602139E0,-4.495286942E-1,7.529410839E0,8.960831328E0
1.606084089E0,-2.928824425E-1,-1.127689362E0,2.193545341E0,2.483768223E0
1.614084910E0,7.027411461E-1,-3.576279640E0,3.235942125E-1,3.659007297E0
1.622086121E0,1.850423813E0,-9.120521545E-1,6.669167280E-1,2.168106395E0
1.630084441E0,2.452003002E0,6.635026932E-1,-6.794781685E-1,2.629495223E0
1.638081785E0,3.358267546E0,7.128510475E-1,-2.277936935E0,4.120086675E0
1.646080613E0,3.233483791E0,1.385812759E-1,-1.693357706E0,3.652681552E0
1.654077058E0,9.163889885E-1,2.067528725E0,-2.470574856E0,3.349355748E0
1.662075964E0,2.908376217E0,-7.954340935E0,-6.007576942E0,1.038369745E1
1.670077175E0,3.041665554E0,-6.449985981E0,-4.908256054E0,8.657079530E0
1.678077254E0,2.015196323E0,-6.446666718E-1,-2.213391066E-1,2.127346314E0
1.686074558E0,1.489324093E0,-5.358467102E-1,9.605798721E-1,1.851467429E0
1.694071433E0,4.838972092E-1,-2.385458469E0,5.101573467E-1,2.486931671E0
1.702067722E0,-1.890521526E0,-8.077964783E-1,4.819073677E-1,2.111596908E0
1.710065183E0,-3.649634838E0,6.639914513E-1,4.480135441E-2,3.709814855E0
1.718064207E0,-4.870789051E0,1.109216690E0,-2.951753139E-1,5.004205842E0
1.726064597E0,-4.910520077E0,1.258713722E0,-1.213338971E-1,5.070728702E0
1.734064832E0,-7.366544247E0,5.021476746E-1,7.294921279E-1,7.419587939E0
1.742066121E0,-1.020970058E1,-1.198328018E0,3.742290020E0,1.093977654E1
1.750067019E0,-5.289101124E0,-2.543459892E0,5.497077942E0,8.041246472E0
1.758067566E0,8.694705963E-1,-3.333060265E0,2.833157778E0,4.460050766E0
1.766065730E0,4.160340309E0,-3.329205513E0,1.346509814E0,5.495919351E0
1.774064050E0,6.380609512E0,-1.076058388E0,8.359593153E-1,6.524485220E0
1.782062097E0,8.203107834E0,1.185450077E0,9.838544130E-1,8.346510620E0
1.790061004E0,8.751510620E0,2.740353584E0,1.293338299E0,9.261274203E0
1.798061277E0,7.840949059E0,3.267448902E0,1.526899815E0,8.630650469E0
1.806061550E0,6.259356976E0,3.192458153E0,1.732566595E0,7.236927926E0
1.814063152E0,4.655243397E0,2.450700760E0,1.632517099E0,5.508387911E0
1.822066004E0,3.160685539E0,1.757966995E0,1.782430410E0,4.032051488E0
1.830068347E0,1.636116505E0,1.688956738E0,2.272351742E0,3.270020568E0
1.838067683E0,1.187901497E-1,1.151662827E0,3.205002785E0,3.407709086E0
1.846066746E0,-1.372137070E0,2.718544006E-2,4.211652756E0,4.429618282E0
1.854067722E0,-1.938682556E0,2.423543930E-1,4.360423565E0,4.778129275E0
1.862067879E0,-2.407679081E0,1.329236984E0,3.610630989E0,4.538771382E0
1.870071550E0,-3.747828484E0,2.411840439E0,3.221337080E0,5.499109494E0
1.878074519E0,-5.505550861E0,2.174201965E0,3.296052933E0,6.775116930E0
1.886078816E0,-5.777885914E0,5.383682251E-2,3.828629017E0,6.931469122E0
1.894079558E0,-5.414310455E0,-2.397320747E0,6.447296143E0,8.753829563E0
1.902082683E0,-4.950404167E0,-3.020505905E0,9.002206802E0,1.070839319E1
1.910087136E0,-3.739674568E0,-2.215502739E0,1.005316067E1,1.095260963E1
1.918092293E0,-1.523435116E0,-1.169157982E0,8.125969887E0,8.349800689E0
1.926094050E0,1.366556168E0,-2.494087219E-1,4.431215286E0,4.643850706E0
1.934094597E0,2.602198124E0,-1.131458282E-1,2.851325274E0,3.861902753E0
1.942095964E0,3.295722723E0,-4.947061539E-1,2.350710869E0,4.078279543E0
1.950098308E0,3.621580601E0,-1.292757988E0,1.089703083E0,3.996813990E0
1.958098308E0,3.489542961E0,-1.239895821E0,-1.691740751E0,4.071392697E0
1.966097996E0,2.518374920E0,1.550083160E-1,-3.487490416E0,4.304512657E0
1.974100925E0,6.421627998E-1,1.527142525E0,-4.155683517E0,4.473728071E0
1.982103191E0,-8.382782936E-1,1.740805149E0,-3.176082134E0,3.717608208E0
1.990107996E0,-1.739187241E0,1.461467743E0,-1.508316755E0,2.726844267E0
1.998113621E0,-1.888504982E0,1.328289986E0,-1.801079154E0,2.928257412E0
2.006116355E0,-1.804472446E0,1.184316158E0,-2.469302654E0,3.279661746E0
2.014117058E0,-5.060448647E-1,9.777064323E-1,-1.409944057E0,1.788835800E0
2.022118816E0,-3.826642036E-1,1.020614147E0,1.123779535E0,1.565555995E0
2.030120105E0,-1.149810791E0,1.482068062E0,1.685017586E0,2.521482671E0
2.038121238E0,-2.802567959E0,3.228626728E0,1.582716942E0,4.558882608E0
2.046119832E0,-5.649878502E0,3.663052559E0,9.118629694E-1,6.794893319E0
2.054119011E0,-7.237771988E0,2.001363277E0,8.352601528E-1,7.555690428E0
2.062118894E0,-7.020050049E0,1.015964985E0,1.286443949E0,7.208899054E0
2.070120261E0,-5.690042973E0,7.613821030E-1,1.776470780E0,6.009337748E0
2.078120300E0,-4.348893642E0,1.081848621E0,2.250539064E0,5.014797945E0
2.086118621E0,-3.389618874E0,1.336141109E0,2.170635462E0,4.241043207E0
2.094119519E0,-2.416609287E0,7.158489227E-1,2.410955429E0,3.487856965E0
2.102122722E0,-1.443142414E0,-6.235942841E-1,2.983062506E0,3.371971496E0
2.110127019E0,-6.445884705E-3,-1.974358559E0,3.269101620E0,3.819052064E0
2.118128191E0,9.663786888E-1,-2.575178146E0,3.299962997E0,4.295949958E0
2.126131511E0,1.658379555E0,-2.706357002E0,3.609826088E0,4.806811350E0
2.134133035E0,1.722078800E0,-2.843811989E0,4.154914856E0,5.321291148E0
2.142134675E0,9.076271057E-1,-3.222696304E0,5.293291569E0,6.263265447E0
2.150132293E0,3.583326340E-1,-3.110563278E0,5.755390167E0,6.551986123E0
2.158132683E0,5.522880554E-1,-2.805039406E0,5.439971447E0,6.145450147E0
2.166136824E0,1.104191303E0,-9.139709473E-1,5.476735592E0,5.661202529E0
2.174143074E0,1.458376169E0,1.095825672E0,4.693877697E0,5.035889473E0
2.182146824E0,1.583420277E0,2.386649132E0,3.068905830E0,4.197796666E0
2.190149129E0,1.184928894E0,2.903940678E0,8.396925926E-1,3.246846407E0
2.198152214E0,-2.035608292E-1,3.175312519E0,-3.019488454E-1,3.196125734E0
2.206155457E0,-1.313742161E0,2.029190063E-1,-6.437967777E0,6.573775452E0
2.214154949E0,-1.836729050E0,-9.605245590E-1,-7.498348236E0,7.779550585E0
2.222158347E0,-1.632100105E0,8.821678162E-2,-7.940245628E0,8.106727675E0
2.230159793E0,-7.771286964E-1,1.025533199E0,-8.386373520E0,8.484509896E0
2.238159832E0,5.957617760E-1,1.201122284E0,-8.280599594E0,8.388441838E0
2.246160066E0,2.297040462E0,1.980719090E0,-7.138885498E0,7.756502379E0
2.254159480E0,3.471729994E0,2.133563995E0,-4.743584633E0,6.253526976E0
2.262157800E0,3.578299522E0,8.647580147E-1,-1.335005283E0,3.915900025E0
2.270158699E0,3.874486923E0,-2.135467529E-2,3.077033758E-1,3.886744950E0
2.278158777E0,3.544742823E0,-3.395614624E-1,2.888436556E0,4.585146606E0
2.286159363E0,2.934659481E0,-4.153909683E-1,5.206314087E0,5.990866573E0
2.294160847E0,2.393185616E0,-8.508043289E-1,7.950450420E0,8.346308602E0
2.302163074E0,2.128563166E0,-2.074680328E0,1.109419632E1,1.148548090E1
2.310164714E0,1.840201378E0,-3.565801620E0,1.281488132E1,1.342842007E1
2.318164832E0,1.262915134E0,-4.734674454E0,1.367358303E1,1.452511514E1
2.326163855E0,2.217315912E0,-1.435041428E0,1.356019115E1,1.381501422E1
2.334162527E0,2.719534636E0,1.720772266E0,9.184637070E0,9.732136658E0
2.342162410E0,2.597957850E0,4.678818703E0,4.833728790E0,7.211495230E0
2.350160144E0,8.779702187E-1,4.458128929E0,2.255846500E0,5.072927033E0
2.358159714E0,6.738615036E-2,2.287475109E0,2.595248222E-1,2.303136210E0
2.366158230E0,-1.065732002E0,-9.894456863E-1,-9.273942709E-1,1.724774652E0
2.374157332E0,-1.581567764E0,-3.236186028E0,-2.648726463E0,4.471018729E0
2.382159363E0,-1.233223915E0,-5.737856865E0,-5.109307766E0,7.781315343E0
2.390161004E0,-2.592039108E-1,-6.090793610E0,-5.107154369E0,7.952859814E0
2.398163074E0,1.392473459E0,-4.200967789E0,-4.731530666E0,6.478772657E0
2.406166707E0,1.351893187E0,-2.133494377E0,-4.099126339E0,4.814794927E0
2.414167879E0,1.280476809E0,-6.907653809E-1,-5.279447079E0,5.476252288E0
2.422168933E0,1.186990976E0,8.762292862E-1,-6.141888618E0,6.316606774E0
2.430171824E0,8.358013630E-1,1.698071003E0,-5.233967304E0,5.565646664E0
2.438173074E0,6.418180466E-1,1.205389977E0,-4.856372833E0,5.044725215E0
2.446172839E0,5.149230957E-1,1.266386032E0,-2.832616329E0,3.145249536E0
2.454172254E0,7.302205563E-1,1.362453461E0,8.861470222E-2,1.548339129E0
2.462173972E0,9.069104195E-1,1.330348015E0,1.248401523E0,2.037355814E0
2.470178035E0,6.601762772E-1,1.555449009E0,1.737785816E0,2.423871671E0
2.478180535E0,2.603268623E-1,1.997240543E0,1.744693756E0,2.664713149E0
2.486183230E0,-6.590223312E-1,3.085258484E0,2.032568455E0,3.752927506E0
2.494186121E0,-1.475286961E0,3.787987232E0,2.136443853E0,4.592353561E0
2.502187175E0,-1.708193302E0,3.470950127E0,2.200850487E0,4.450748477E0
2.510187918E0,-1.061804295E0,2.884598255E0,2.204316139E0,3.782505135E0
2.518192019E0,-1.254055023E0,3.368508339E0,2.577319622E0,4.422903895E0
2.526198035E0,-3.813941240E0,3.979710102E0,4.121583462E0,6.882709533E0
2.534201199E0,-4.336550713E0,2.456158638E0,5.364243507E0,7.322123718E0
2.542202918E0,-4.489017010E0,1.866941452E-1,6.329953671E0,7.762373470E0
2.550203269E0,-5.097462177E0,-1.850426674E0,6.184487343E0,8.225331800E0
2.558200339E0,-4.857039928E0,-2.281427383E0,6.017634392E0,8.062733497E0
2.566198504E0,-5.480986595E0,-3.071785927E0,6.014309883E0,8.697643716E0
2.574200808E0,-2.535454988E0,-4.653526306E0,3.566559315E0,6.387815309E0
