"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.909811241E0,-2.931491733E-1,-5.250997543E-1,4.830145836E-2,6.033234793E-1
1.917811045E0,-2.931088209E-2,-4.032926559E-1,6.544518471E-2,4.096183179E-1
1.925810889E0,2.364531159E-1,-2.327423096E-1,-7.504439354E-2,3.401627841E-1
1.933810889E0,3.051384389E-1,1.068077087E-1,-9.741115570E-2,3.376481702E-1
1.941810889E0,-4.162770510E-2,4.572544098E-1,2.052152157E-1,5.029192240E-1
1.949809913E0,-3.106139302E-1,6.269922256E-1,7.086251974E-1,9.958664243E-1
1.957807295E0,-1.921879053E-1,7.207107544E-1,8.270955086E-1,1.113753636E0
1.965807920E0,6.578862667E-2,7.622165680E-1,9.508459568E-1,1.220413976E0
1.973807139E0,1.616584659E-1,7.086133957E-1,1.259682059E0,1.454326406E0
1.981808311E0,2.823341489E-1,7.041931152E-1,1.355105281E0,1.553032787E0
1.989806983E0,3.929524422E-1,6.913261414E-1,1.294491410E0,1.519227260E0
1.997804249E0,3.184275031E-1,5.794734955E-1,1.317637444E0,1.474229982E0
2.005799834E0,3.357309699E-1,4.742374420E-1,1.094158888E0,1.238870497E0
2.013799209E0,2.392347455E-1,3.424291611E-1,9.123311043E-1,1.003413692E0
2.021793741E0,-1.235532761E-2,2.226591110E-1,7.774807215E-1,8.088300230E-1
2.029789874E0,-5.074743032E-1,6.260108948E-2,6.798194647E-1,8.506489108E-1
2.037791202E0,-1.794709921E0,-1.470928192E-1,6.520903111E-1,1.915161030E0
2.045791944E0,-4.652758598E0,-5.739412308E-1,-1.027653813E0,4.799337816E0
2.053792022E0,-6.011061192E0,-1.275032043E0,-2.486523390E0,6.628828096E0
2.061792491E0,-3.957810402E0,-1.463612556E0,-3.076069832E0,5.221937428E0
2.069791631E0,-2.774517536E0,-1.615335464E0,-1.961061597E0,3.762049815E0
2.077788584E0,-2.578378677E0,-1.833593369E0,-7.152712941E-1,3.243719203E0
2.085789483E0,-2.349041224E0,-1.883321762E0,-2.070154548E-1,3.017905056E0
2.093786202E0,-2.383054733E0,-1.813099861E0,-2.150052190E-1,3.002083978E0
2.101784834E0,-2.524476290E0,-1.708266258E0,-3.590074778E-1,3.069208451E0
2.109782139E0,-2.459750652E0,-1.550963402E0,-1.948492527E-1,2.914417090E0
2.117780850E0,-2.330835342E0,-1.566641808E0,1.652975678E-1,2.813269136E0
2.125780264E0,-2.111479044E0,-1.664171219E0,2.978495359E-1,2.704907382E0
2.133777881E0,-1.898094654E0,-1.857975960E0,3.457808495E-2,2.656319564E0
2.141774913E0,-1.875157356E0,-2.161825657E0,-1.187701225E-1,2.864229674E0
2.149773624E0,-1.971607685E0,-2.471022129E0,2.202454805E-1,3.168863408E0
2.157772100E0,-2.279596090E0,-2.685094833E0,8.515150547E-1,3.623723291E0
2.165773272E0,-2.754847765E0,-2.956917763E0,1.545220494E0,4.326691027E0
2.173773545E0,-3.095163107E0,-3.185784817E0,1.959021688E0,4.854588091E0
2.181773936E0,-3.361009598E0,-3.466876507E0,2.187209606E0,5.300896537E0
2.189772100E0,-3.665041447E0,-3.814130783E0,2.209068298E0,5.732373434E0
2.197771749E0,-3.925740719E0,-4.189321995E0,1.975172520E0,6.071504381E0
2.205771749E0,-3.839185953E0,-4.381806850E0,1.479762197E0,6.010763364E0
2.213768624E0,-4.406527996E0,-5.201996326E0,1.092538714E0,6.904483732E0
2.221768663E0,-4.776131153E0,-5.787268639E0,8.550216556E-1,7.552149967E0
2.229770577E0,-4.854836464E0,-6.153352261E0,4.933067560E-1,7.853440819E0
2.237771709E0,-4.744822979E0,-6.161439419E0,-3.218249083E-1,7.783331683E0
2.245772413E0,-4.305420876E0,-6.218170643E0,-1.046260238E0,7.635244302E0
2.253776436E0,-3.816689014E0,-6.256169796E0,-1.392085552E0,7.459536027E0
2.261779717E0,-3.257003307E0,-6.177627087E0,-1.332093835E0,7.109544356E0
2.269780850E0,-2.740747213E0,-6.212203503E0,-9.823474884E-1,6.860624916E0
2.277780577E0,-2.409921169E0,-6.435587883E0,-8.484159708E-1,6.924183786E0
2.285781983E0,-1.964601755E0,-6.200489521E0,-3.144434690E-1,6.511881836E0
2.293783663E0,-1.527825594E0,-6.014748573E0,-1.042517424E-1,6.206635149E0
2.301787881E0,-1.320377946E0,-5.872297287E0,-2.794476748E-1,6.025393294E0
2.309791124E0,-1.038718224E0,-5.935419083E0,-6.094014645E-1,6.056360737E0
2.317792608E0,-2.077578306E-1,-5.891624451E0,-3.957611024E-1,5.908555562E0
2.325793428E0,5.394711494E-1,-5.639005661E0,2.046270967E-1,5.668446543E0
2.333796241E0,1.279899836E0,-5.224276066E0,7.225941420E-1,5.427093725E0
2.341797764E0,1.642189264E0,-4.854746342E0,5.681663752E-1,5.156370880E0
2.349796553E0,2.214287519E0,-4.353293419E0,5.126607418E-2,4.884348577E0
2.357796202E0,2.758450508E0,-3.797851086E0,-3.687795401E-1,4.708367066E0
2.365795772E0,3.243678570E0,-3.266894341E0,-6.710060239E-1,4.652343321E0
2.373795069E0,3.381731033E0,-3.021939754E0,-9.805430770E-1,4.640009632E0
2.381794913E0,3.324842930E0,-2.984318733E0,-1.140774608E0,4.611085069E0
2.389794209E0,3.239674807E0,-3.064094543E0,-1.116653085E0,4.596855701E0
2.397793663E0,3.208800077E0,-3.121194839E0,-1.126398206E0,4.615953648E0
2.405790186E0,3.361131907E0,-3.049626350E0,-1.338413715E0,4.731678333E0
2.413787295E0,3.662777901E0,-2.810137749E0,-1.580090761E0,4.879498225E0
2.421786280E0,4.479142189E0,-2.268990993E0,-1.728234291E0,5.310162770E0
